age,income,loan_amount,loan_term_months,credit_history_length,number_of_dependents,employment_status,property_owned,default
59,20922.447788488123,4763.564612394783,42,8,5,salaried,own,0
49,21733.341318933715,12514.719599199889,51,10,5,retired,own,0
35,30768.110670725702,41677.39816689799,37,10,4,salaried,rent,0
63,17009.91296286274,47464.32535171389,40,5,5,salaried,rent,0
28,26547.692089877302,15925.515432935334,14,0,4,salaried,own,0
41,28381.92796229296,13961.274395453072,25,21,4,salaried,own,0
59,24322.197474646044,14714.739960074918,36,5,1,salaried,own,0
39,19345.151310230092,14608.235280191348,59,12,1,salaried,rent,0
43,24108.571789109286,2760.578927112677,12,21,4,unemployed,own,0
31,32076.217179949545,46418.9009702243,14,23,3,salaried,mortgage,0
31,33509.77391304176,11471.208936946092,37,21,2,salaried,own,0
44,54594.38635375348,21580.19962998884,29,4,0,salaried,own,0
56,13426.516606815338,1474.6572543074192,20,14,1,salaried,rent,0
60,17676.587529100667,43039.799454837805,49,26,4,salaried,own,0
44,9830.702444699584,36826.709878290945,34,17,0,unemployed,rent,0
23,35084.149706998105,47391.04572351146,32,19,1,retired,own,0
42,18634.057743338417,39299.158480623555,12,13,2,salaried,rent,0
22,24418.47973992985,16371.619090551196,32,14,3,salaried,rent,0
44,16282.248027919492,13145.794577692759,38,25,4,unemployed,mortgage,0
64,18706.9053084396,35188.099070111355,53,4,2,salaried,own,0
50,40602.91141359764,18841.525975514473,17,25,1,salaried,own,0
58,31167.04935311914,28744.53577187821,55,3,4,salaried,own,0
22,20831.86305426174,1306.6160802970412,47,1,0,self-employed,mortgage,0
41,32335.046751836213,4032.399382343287,39,6,5,salaried,mortgage,0
53,32694.10417004324,27233.02911790091,56,9,3,unemployed,own,0
32,18111.225921502162,28737.51067596009,28,15,1,self-employed,own,0
42,10566.672462322542,37821.194278507835,51,9,3,salaried,own,0
64,14050.583252011902,7466.300661574125,14,17,4,self-employed,own,0
45,11268.152900050382,26145.97110408216,23,16,5,unemployed,own,0
47,39427.44092324797,10527.934577152742,50,29,2,salaried,own,0
62,43004.395407201286,5566.60985857204,23,20,3,salaried,rent,0
48,48687.954620018034,21114.293908967175,13,27,0,salaried,mortgage,0
36,8024.239888043833,9003.495756363805,57,12,1,salaried,mortgage,0
35,37635.402987133064,11867.316931423611,33,0,0,salaried,own,0
64,66575.7485741882,16560.174413605586,34,0,3,salaried,rent,0
23,38406.9555737249,13710.031636416616,41,14,5,salaried,mortgage,0
57,7512.962876071048,5291.973572891374,16,0,2,unemployed,own,0
27,53324.39267750583,5405.895998125412,20,5,2,salaried,rent,0
41,22490.41547538524,10469.22134647424,32,24,0,salaried,own,0
29,19610.108395738855,3477.400210017409,22,25,4,salaried,own,0
59,27599.354073338898,31696.39396416943,16,12,4,salaried,own,0
38,13036.34544237709,15079.009108936196,46,26,5,salaried,own,0
24,22057.130018638596,14707.55242068448,38,27,2,salaried,rent,0
45,49524.10613061303,17267.916417650493,13,0,0,salaried,own,0
34,30067.44894773972,33477.017436276365,35,4,0,self-employed,own,0
29,22679.13768218832,43661.06019269104,42,8,0,self-employed,own,0
46,23035.78326306428,38195.25969522628,44,29,3,salaried,mortgage,0
22,12201.363763294567,36648.93228102965,50,24,5,self-employed,own,0
40,20435.03388742456,24735.168094441615,41,16,4,self-employed,rent,0
48,9728.863184075079,34996.47229140317,57,15,4,salaried,rent,0
27,36725.27452608711,28085.356033645574,48,7,3,retired,own,0
64,7384.5463075764355,11596.275881139916,39,16,1,unemployed,own,1
28,33774.12277270769,11220.830019311485,42,14,3,salaried,rent,0
55,35943.56866262,15523.208336888889,22,23,5,salaried,own,0
34,42590.32134047677,45629.33087752085,34,0,0,salaried,own,0
37,23004.142366382446,27823.327178606567,13,11,3,salaried,rent,0
56,34832.781973399186,36961.3634730916,51,4,0,self-employed,own,0
60,20335.56657100853,17981.379231010833,52,23,5,salaried,own,0
24,12169.053882251532,20978.072762596035,38,5,5,self-employed,own,0
22,47352.08806999268,7152.713353225317,46,24,2,self-employed,own,0
26,20984.872189668036,9393.452933261848,13,0,0,self-employed,rent,0
62,10886.12521442327,41540.47118648113,50,24,4,self-employed,rent,1
24,17441.235312706758,29657.09295275522,48,0,3,salaried,rent,0
49,17789.03719667148,17539.090828307126,32,9,5,salaried,rent,0
38,27746.041464248112,40339.709240781754,16,9,0,self-employed,own,0
46,71219.62857831287,13079.475376261165,56,2,1,salaried,own,0
64,28601.353093240527,48825.60223140999,32,16,2,salaried,own,0
54,24426.452087118978,17896.06277956232,40,18,1,unemployed,own,0
30,75198.61556896355,17528.23675341015,31,27,5,self-employed,mortgage,0
56,35934.271966209,16283.683371298555,49,10,1,salaried,mortgage,0
34,25012.34050018514,6983.464280290108,31,28,1,self-employed,own,0
51,17331.727677095732,6445.720219268608,36,17,2,self-employed,own,1
35,25799.23290497233,32757.146692172046,13,1,2,salaried,own,0
28,21307.29535431307,43880.7841833443,43,8,2,salaried,own,0
34,23056.824163904752,39735.505003312,37,23,2,retired,own,0
43,42497.52901440506,7914.272107046203,17,16,1,salaried,rent,0
60,16811.84385601777,27733.523967811256,52,27,4,salaried,mortgage,0
41,28474.674412058936,6173.98575285536,14,13,4,salaried,rent,0
36,35400.10251135979,3219.4375370407947,44,3,2,self-employed,own,0
65,15818.631633393039,33162.90710985359,12,28,3,salaried,own,0
38,14598.722330470428,27222.464350337166,16,16,0,salaried,rent,0
44,20431.41688797436,5019.1605753620715,24,16,5,salaried,mortgage,0
46,17486.51348621876,2712.023073893434,30,11,3,retired,mortgage,0
45,39189.58510460576,49498.0642570574,23,27,5,salaried,mortgage,0
65,13347.920190496454,2471.045275304522,59,19,3,salaried,rent,0
61,22793.613915048016,22781.884399457824,36,17,3,retired,rent,0
49,78670.550643069,25726.332205777082,46,2,4,salaried,own,0
35,27079.391786425414,6746.7272422218075,23,10,0,retired,rent,0
65,29426.32827518413,9284.027143546096,41,24,3,retired,own,0
21,39353.54142336959,18238.445314107274,16,17,2,unemployed,own,0
45,17474.980780748847,38322.11793446947,45,3,5,salaried,rent,0
27,12826.77658545985,25847.03877895307,33,16,4,self-employed,own,0
29,24058.788574676797,32257.191853095115,50,17,5,self-employed,own,0
44,25152.231875981885,49273.553199443064,24,4,2,retired,own,0
21,9807.420800439162,38632.26633034727,58,13,2,salaried,own,0
64,26569.944696928218,22283.71340891967,14,9,3,self-employed,own,0
28,37606.23910854934,22875.654168030887,31,14,2,salaried,own,0
44,13954.062499949878,31319.831775009246,42,0,0,salaried,own,0
31,27385.745620712554,33602.89521252632,16,15,2,salaried,own,0
37,34411.00930805387,25534.835365996896,35,10,3,self-employed,mortgage,0
28,29535.23109821174,32598.199917934016,51,22,5,salaried,own,0
55,30961.60351153778,2153.09222629084,44,19,2,salaried,own,0
55,19488.89078930605,22051.52033094536,19,5,4,retired,rent,0
53,12534.596636925195,14667.965727600362,35,23,4,salaried,mortgage,0
25,17613.602798961212,7329.547816912409,31,28,4,self-employed,rent,0
62,16431.762015364166,5877.779127629981,27,21,5,salaried,own,1
59,21160.054824022696,30556.416115118707,23,15,1,salaried,rent,0
61,38049.204361515745,26656.426810477973,24,29,4,self-employed,rent,0
